Time,Open,High,Low,Close,Volume
2023-01-11,231.2900,235.9500,231.1100,235.7700,28669331
2023-01-10,227.7550,231.3100,227.3300,228.8500,27033881
2023-01-09,226.4500,231.2366,226.4100,227.1200,27369784
2023-01-06,223.0000,225.7601,219.3500,224.9300,43613574
2023-01-05,227.2000,227.5500,221.7602,222.3100,39585623
2023-01-04,232.2750,232.8700,225.9600,229.1000,50623394
2023-01-03,243.0800,245.7500,237.4000,239.5800,25740036
2022-12-30,238.2100,239.9600,236.6600,239.8200,21938472
2022-12-29,235.6500,241.9200,235.6500,241.0100,19770693
2022-12-28,236.8900,239.7200,234.1700,234.5300,17457104
2022-12-27,238.7000,238.9300,235.8300,236.9600,16688648
2022-12-23,236.1100,238.8700,233.9428,238.7300,21206982
2022-12-22,241.2550,241.9900,233.8700,238.1900,28651664
2022-12-21,241.6900,245.6150,240.1100,244.4300,23690607
2022-12-20,239.4000,242.9100,238.4200,241.8000,25150802
2022-12-19,244.8600,245.2100,238.7100,240.4500,29696436
2022-12-16,248.5500,249.8400,243.5100,244.6900,86101994
2022-12-15,253.7200,254.2000,247.3400,249.0100,35568093
2022-12-14,257.1300,262.5880,254.3100,257.2200,35410933
2022-12-13,261.6900,263.9150,253.0700,256.9200,42196884
2022-12-12,247.4450,252.5400,247.1700,252.5100,30665069
2022-12-09,244.6950,248.3100,244.1600,245.4200,20609743
2022-12-08,244.8400,248.7400,243.0600,247.4000,22611757
2022-12-07,244.8300,246.1600,242.2050,244.3700,20481522
2022-12-06,250.8200,251.8600,243.7800,245.1200,22463727
2022-12-05,252.0100,253.8190,248.0600,250.2000,23435294
2022-12-02,249.8200,256.0600,249.6900,255.0200,21528520
2022-12-01,253.8700,256.1200,250.9156,254.6900,26041524
2022-11-30,240.5700,255.3300,239.8600,255.1400,47594239
2022-11-29,241.4000,242.7900,238.2100,240.3300,17956313
2022-11-28,246.0800,246.6500,240.8000,241.7600,24810271
2022-11-25,247.3100,248.7000,246.7300,247.4900,9200772
2022-11-23,245.1050,248.2800,244.2700,247.5800,19508462
2022-11-22,243.5900,245.3100,240.7100,245.0300,19665699
2022-11-21,241.4300,244.6700,241.1900,242.0500,26394700
2022-11-18,243.5100,243.7400,239.0300,241.2200,27613523
2022-11-17,237.7800,243.2500,237.6300,241.6800,23123544
2022-11-16,242.7900,243.8000,240.4200,241.7300,24093272
2022-11-15,245.6600,247.0000,240.0300,241.9700,31390117
2022-11-14,241.9850,243.9100,239.2100,241.5500,31123340
2022-11-11,242.9900,247.9900,241.9300,247.1100,34620246
2022-11-10,235.4300,243.3300,235.0000,242.9800,46268021
2022-11-09,227.3700,228.6327,224.3300,224.5100,27852910
2022-11-08,228.7000,231.6500,225.8400,228.8700,28192548
2022-11-07,221.9900,228.4100,221.2800,227.8700,33497979
2022-11-04,217.5500,221.5900,213.4310,221.3900,36789063
2022-11-03,220.0900,220.4100,213.9800,214.2500,36633922
2022-11-02,229.4600,231.3000,220.0400,220.1000,38407008
2022-11-01,234.6000,235.7400,227.3250,228.1700,30592271
2022-10-31,233.7600,234.9200,231.1500,232.1300,28357265
2022-10-28,226.2400,236.6000,226.0500,235.8700,40647724
2022-10-27,231.0400,233.6900,225.7800,226.7500,40424645
2022-10-26,231.1700,238.3000,230.0600,231.3200,82684846
2022-10-25,247.2600,251.0400,245.8300,250.6600,34775505
2022-10-24,243.7600,247.8400,241.2950,247.2500,24911212
2022-10-21,234.7400,243.0000,234.5000,242.1200,26299733
2022-10-20,235.7700,241.3100,234.8700,236.1500,21811015
2022-10-19,237.0400,239.6100,234.2900,236.4800,19985698
2022-10-18,243.2400,243.9300,235.3700,238.5000,26329591
2022-10-17,235.8200,238.9600,235.1350,237.5300,28142268
2022-10-14,235.5400,237.2400,228.3400,228.5600,30198588
2022-10-13,219.8500,236.1000,219.1300,234.2400,42551818
2022-10-12,225.4000,227.8600,223.9600,225.7500,21903937
2022-10-11,227.6200,229.0600,224.1100,225.4100,30473954
2022-10-10,233.0500,234.5590,226.7300,229.2500,29743608
2022-10-07,240.9020,241.3200,233.1700,234.2400,37769602
2022-10-06,247.9300,250.3400,246.0800,246.7900,20239886
2022-10-05,245.9900,250.5800,244.1000,249.2000,20347136
2022-10-04,245.0900,250.3600,244.9750,248.8800,34888416
2022-10-03,235.4100,241.6100,234.6600,240.7400,28880357
2022-09-30,238.2900,240.5400,232.7300,232.9000,35694832
2022-09-29,238.8900,239.9500,234.4100,237.5000,27484233
2022-09-28,236.8100,242.3300,234.7300,241.0700,29029679
2022-09-27,239.9800,241.8000,234.5000,236.4100,27018732
2022-09-26,237.0450,241.4500,236.9000,237.4500,27694190
2022-09-23,239.5400,241.1300,235.2000,237.9200,34176048
2022-09-22,237.8704,243.8600,237.5700,240.9800,30927092
2022-09-21,244.2700,247.6600,238.9000,238.9500,28625557
2022-09-20,242.0650,243.5100,239.6400,242.4500,26660299
2022-09-19,242.4650,245.1400,240.8500,244.5200,26826931
2022-09-16,244.2600,245.3000,242.0627,244.7400,39791768
2022-09-15,249.7700,251.4000,244.0200,245.3800,31530948
2022-09-14,253.5300,254.2300,249.8600,252.2200,23912954
2022-09-13,258.8400,260.4000,251.5900,251.9900,33353318
2022-09-12,265.7800,267.4500,265.1600,266.6500,18747690
2022-09-09,260.5000,265.2300,260.2900,264.4600,22093190
2022-09-08,257.5100,260.4300,254.7900,258.5200,20319911
2022-09-07,254.7000,258.8300,253.2200,258.0900,24126700
2022-09-06,256.2000,257.8300,251.9400,253.2500,21283869
2022-09-02,261.6950,264.7400,254.4700,256.0600,22855380
2022-09-01,258.8700,260.8900,255.4100,260.4000,23263431
2022-08-31,265.3900,267.1100,261.3300,261.4700,24791834
2022-08-30,266.6700,267.0500,260.6600,262.9700,22767071
2022-08-29,265.8500,267.4000,263.8500,265.2300,20121371
2022-08-26,279.0800,280.3400,267.9800,268.0900,27549307
2022-08-25,277.3300,279.0200,274.5200,278.8500,16583407
2022-08-24,275.4100,277.2300,275.1100,275.7900,18137019
2022-08-23,276.4400,278.8600,275.4000,276.4400,17527409
2022-08-22,282.0800,282.4600,277.2200,277.7500,25061070
2022-08-19,288.9000,289.2500,285.5600,286.1500,20570033
2022-08-18,290.1890,291.9100,289.0800,290.1700,17186192
2022-08-17,289.7400,293.3500,289.4700,291.3200,18253358
2022-08-16,291.9900,294.0400,290.4200,292.7100,18102882
2022-08-15,291.0000,294.1800,290.1100,293.4700,18085654
2022-08-12,288.4800,291.9100,286.9400,291.9100,22619675
2022-08-11,290.8500,291.2100,286.5100,287.0200,20065938
2022-08-10,288.1700,289.8100,286.9400,289.1600,24687845
2022-08-09,279.6400,283.0800,277.6100,282.3000,23405238
2022-08-08,284.0500,285.9200,279.3200,280.3200,18757818
2022-08-05,279.1500,283.6500,278.6800,282.9100,16774606
2022-08-04,281.8000,283.8000,280.1677,283.6500,18098668
2022-08-03,276.7600,283.5000,276.6100,282.4700,23518874
2022-08-02,276.0000,277.8900,272.3800,274.8200,22754184
2022-08-01,277.8200,281.2800,275.8400,278.0100,21539580
2022-07-29,277.7000,282.0000,276.6300,280.7400,32152752
2022-07-28,269.7500,277.8400,267.8700,276.4100,33459327
2022-07-27,261.1600,270.0500,258.8500,268.7400,45994049
2022-07-26,259.8600,259.8800,249.5700,251.9000,39347957
2022-07-25,260.9950,261.5000,256.8100,258.8300,21055998
2022-07-22,265.2400,265.3300,259.0700,260.3600,21881290
2022-07-21,259.7900,264.8900,257.0300,264.8400,22404675
2022-07-20,259.9000,264.8700,258.9100,262.2700,22788282
2022-07-19,257.5750,259.7200,253.6800,259.5300,25012562
2022-07-18,259.7500,260.8400,253.3000,254.2500,20975034
2022-07-15,255.7200,260.3699,254.7727,256.7200,29774050
2022-07-14,250.5700,255.1374,245.9400,254.0800,25102823
2022-07-13,250.1900,253.5500,248.1100,252.7200,29497423
2022-07-12,265.8800,265.9400,252.0400,253.6700,35868450
2022-07-11,265.6500,266.5300,262.1800,264.5100,19519108
2022-07-08,264.7900,268.1000,263.2850,267.6600,19658751
2022-07-07,265.1200,269.0550,265.0200,268.4000,20859874
2022-07-06,263.7500,267.9900,262.4000,266.2100,23824419
2022-07-05,256.1600,262.9800,254.7400,262.8500,22971634
2022-07-01,256.3900,259.7700,254.6100,259.5800,22837692
2022-06-30,257.0500,259.5300,252.9000,256.8300,31730868
2022-06-29,257.5900,261.9700,255.7600,260.2600,20069839
2022-06-28,263.9800,266.9100,256.3200,256.4800,27380247
2022-06-27,268.2050,268.3000,263.2800,264.8900,24615114
2022-06-24,261.8080,267.9800,261.7200,267.7000,33923231
2022-06-23,255.5700,259.3700,253.6300,258.8600,25861449
2022-06-22,251.8900,257.1700,250.3700,253.1300,25961215
2022-06-21,250.2550,254.7500,249.5100,253.7400,29928297
2022-06-17,244.7000,250.5000,244.0300,247.6500,43084780
2022-06-16,245.9800,247.4174,243.0200,244.9700,33169160
2022-06-15,248.3100,255.3000,246.4200,251.7600,33111729
2022-06-14,243.8600,245.7400,241.5100,244.4900,28651487
2022-06-13,245.1100,249.0242,241.5300,242.2600,46135788
2022-06-10,260.5800,260.5800,252.5300,252.9900,31445841
2022-06-09,267.7800,272.7081,264.6300,264.7900,26439728
2022-06-08,271.7100,273.0000,269.6100,270.4100,17372341
2022-06-07,266.6350,273.1300,265.9400,272.5000,22860677
2022-06-06,272.0600,274.1800,267.2200,268.7500,22400342
2022-06-03,270.3100,273.4500,268.4100,270.0200,28058958
2022-06-02,264.4500,274.6500,261.6000,274.5800,44008209
2022-06-01,275.1950,277.6900,270.0400,272.4200,25292174
2022-05-31,272.5300,274.7700,268.9300,271.8700,37827695
2022-05-27,268.4800,273.3400,267.5600,273.2400,26910806
2022-05-26,262.2700,267.1100,261.4294,265.9000,25002105
2022-05-25,258.1400,264.5800,257.1250,262.5200,28547947
2022-05-24,257.8900,261.3300,253.5000,259.6200,29043904
2022-05-23,255.4900,261.5000,253.4300,260.6500,33175379
2022-05-20,257.2400,258.5400,246.4400,252.5600,39199279
2022-05-19,253.9000,257.6700,251.8800,253.1400,32692286
2022-05-18,263.0000,263.6000,252.7700,254.0800,31355985
2022-05-17,266.1100,268.3300,262.4600,266.8200,28828799
2022-05-16,259.9550,265.8200,255.7800,261.5000,32550933
2022-05-13,257.3500,263.0400,255.3500,261.1200,34925093
2022-05-12,257.6900,259.8800,250.0200,255.3500,51033802
2022-05-11,265.6800,271.3600,259.3000,260.5500,48975898
2022-05-10,271.6900,273.7500,265.0700,269.5000,39336424
2022-05-09,270.0600,272.3600,263.3200,264.5800,47725952
2022-05-06,274.8050,279.2500,271.2700,274.7300,37780322
2022-05-05,285.5400,286.3500,274.3400,277.3500,43260386
2022-05-04,282.5900,290.8800,276.7300,289.9800,33463409
2022-05-03,283.9600,284.1300,280.1500,281.7800,25978605
2022-05-02,277.7100,284.9400,276.2200,284.4700,35151105
2022-04-29,288.6100,289.8800,276.5000,277.5200,37073923
2022-04-28,285.1850,290.9800,281.4562,289.6300,33646570
2022-04-27,282.1000,290.9700,279.1600,283.2200,63477694
2022-04-26,277.5000,278.3599,270.0000,270.2200,42047008
2022-04-25,273.2900,281.1100,270.7700,280.7200,35678852
2022-04-22,281.6800,283.2000,273.3800,274.0300,29405798
2022-04-21,288.5800,293.3000,280.0600,280.8100,29454587
2022-04-20,289.4000,289.7000,285.3702,286.3600,22805341
2022-04-19,279.3800,286.1700,278.4100,285.3000,22297720
2022-04-18,278.9100,282.4600,278.3400,280.5200,20778000
2022-04-14,288.0900,288.3050,279.3200,279.8300,28221607
2022-04-13,282.7300,288.5800,281.3000,287.6200,21907176
2022-04-12,289.2350,290.7390,280.4900,282.0600,30966721
2022-04-11,291.7900,292.6100,285.0000,285.2600,34569264
2022-04-08,300.4400,301.1200,296.2800,296.9700,24361917
2022-04-07,296.6600,303.6500,296.3500,301.3700,31411155
2022-04-06,305.1900,307.0000,296.7100,299.5000,40110372
2022-04-05,313.2700,314.8650,309.8700,310.8800,22984881
2022-04-04,310.0900,315.1100,309.7100,314.9700,24335868
2022-04-01,309.3700,310.1300,305.5400,309.4200,27110529
2022-03-31,313.9000,315.1400,307.8900,308.3100,33422070
2022-03-30,313.7600,315.9500,311.5800,313.8600,28163555
2022-03-29,313.9100,315.8200,309.0500,315.4100,30393403
2022-03-28,304.3300,310.8000,304.3300,310.7000,29578188
2022-03-25,305.2300,305.5000,299.2855,303.6800,22443541
2022-03-24,299.1400,304.2000,298.3150,304.1000,24484456
2022-03-23,300.5100,303.2300,297.7201,299.4900,25715377
2022-03-22,299.8000,305.0000,298.7700,304.0600,27441386
2022-03-21,298.8900,300.1400,294.9000,299.1600,28107855
2022-03-18,295.3700,301.0000,292.7300,300.4300,42195837
2022-03-17,293.2900,295.6100,289.3700,295.2200,30816633
2022-03-16,289.1100,294.5700,283.2000,294.3900,37826329
2022-03-15,280.3500,287.8200,278.7250,287.1500,34245085
2022-03-14,280.3400,285.3992,275.8200,276.4400,30660747
2022-03-11,287.9600,289.5100,279.4300,280.0700,27209330
2022-03-10,283.0200,286.6000,280.5800,285.5900,30628012
2022-03-09,283.4400,289.6000,280.7800,288.5000,35204480
2022-03-08,277.8000,283.9600,270.0000,275.8500,48159475
2022-03-07,288.5300,289.6900,278.5300,278.9100,43157178
2022-03-04,294.2900,295.6600,287.1650,289.8600,32369655
2022-03-03,302.8900,303.1300,294.0500,295.9200,27314469
2022-03-02,295.3600,301.4700,293.6980,300.1900,31873007
2022-03-01,296.4000,299.9700,292.1500,294.9500,31217778
2022-02-28,294.3100,299.1400,293.0000,298.7900,34627457
2022-02-25,295.1400,297.6300,291.6550,297.3100,32546721
2022-02-24,272.5100,295.1600,271.5200,294.5900,56989686
2022-02-23,290.1800,291.7000,280.1000,280.2700,37811167
2022-02-22,285.0000,291.5400,284.5000,287.7200,41569319
2022-02-18,293.0500,293.8600,286.3050,287.9300,34264008
2022-02-17,296.3600,296.8000,290.0000,290.7300,32461580
2022-02-16,298.3650,300.8700,293.6800,299.5000,29982121
2022-02-15,300.0080,300.8000,297.0200,300.4700,27379488
2022-02-14,293.7700,296.7600,291.3500,295.0000,36359487
2022-02-11,303.1900,304.2900,294.2200,295.0400,39175620
2022-02-10,304.0400,309.1200,300.7000,302.3800,45386199
2022-02-09,309.8650,311.9300,307.3900,311.2100,31284671
2022-02-08,301.2500,305.5610,299.9500,304.5600,32421188
2022-02-07,306.1700,307.8400,299.9000,300.9500,28533286
2022-02-04,300.2100,308.8000,299.9700,305.9400,35096488
2022-02-03,309.4900,311.2300,299.9600,301.2500,43729972
2022-02-02,309.6300,315.1200,308.8800,313.4600,36635989
2022-02-01,310.4100,310.6300,305.1293,308.7600,40950396
2022-01-31,308.9500,312.3800,306.3700,310.9800,46444536
2022-01-28,300.2300,308.4800,294.4500,308.2600,49743698
2022-01-27,302.6600,307.3000,297.9300,299.8400,53481317
2022-01-26,307.9850,308.5000,293.0300,296.7100,90428853
2022-01-25,291.5200,294.9900,285.1700,288.4900,72848638
2022-01-24,292.2000,297.1100,276.0500,296.3700,86035393
2022-01-21,302.6850,304.1100,295.6100,296.0300,57984403
2022-01-20,309.0700,311.6494,301.1400,301.6000,35380675
2022-01-19,306.2900,313.9093,302.7000,303.3300,45485618
2022-01-18,304.0700,309.8000,301.7400,302.6500,41717982
2022-01-14,304.2500,310.8200,303.7500,310.2000,39846414
2022-01-13,320.4658,320.8800,304.0000,304.8000,45365979
2022-01-12,319.6700,323.4100,317.0800,318.2700,34372217
2022-01-11,313.3800,316.6100,309.8900,314.9800,29267314
2022-01-10,309.4850,314.7200,304.6900,314.2700,44289467
2022-01-07,314.1500,316.5000,310.0900,314.0400,32720018
2022-01-06,313.1500,318.7000,311.4900,313.8800,39646148
2022-01-05,325.8600,326.0700,315.9800,316.3800,40054327
2022-01-04,334.8300,335.2000,326.1200,329.0100,32674306
2022-01-03,335.3500,338.0000,329.7800,334.7500,28918013
2021-12-31,338.5100,339.3550,335.8500,336.3200,17772880
2021-12-30,341.9100,343.1300,338.8200,339.3200,15994471
2021-12-29,341.3000,344.3000,339.6800,341.9500,15041956
2021-12-28,343.1500,343.8100,340.3200,341.2500,15661467
2021-12-27,335.4600,342.4800,335.4300,342.4500,19947029
2021-12-23,332.7500,336.3900,332.7300,334.6900,19617848
2021-12-22,328.3000,333.6050,325.7500,333.2000,24831493
2021-12-21,323.2900,327.7300,319.8000,327.2900,24740597
2021-12-20,320.0500,322.8000,317.5700,319.9100,28326532
2021-12-17,320.8800,324.9200,317.2500,323.8000,47983713
2021-12-16,335.7100,336.7600,323.0200,324.9000,35034831
2021-12-15,328.6100,335.1900,324.5000,334.6500,35381122
2021-12-14,333.2200,334.6400,324.1100,328.3400,44438699
2021-12-13,340.6800,343.7900,339.0800,339.4000,28899431
2021-12-10,334.9800,343.0000,334.7900,342.5400,38095694
2021-12-09,334.4100,336.4890,332.1200,333.1000,22214158
2021-12-08,335.3100,335.5000,330.8000,334.9700,24760988
2021-12-07,331.6400,335.8000,330.1000,334.9200,31021936
2021-12-06,323.9500,327.4500,319.2300,326.1900,30032556
2021-12-03,331.9900,332.7000,318.0300,323.0100,41779279
2021-12-02,330.3000,333.4900,327.8028,329.4900,30765980
2021-12-01,335.1300,339.2800,329.3900,330.0800,33401146
2021-11-30,335.3200,337.7800,328.9900,330.5900,42885609
2021-11-29,334.9400,339.0300,334.7400,336.6300,28563481
2021-11-26,334.3500,337.9300,328.1200,329.6800,24217242
2021-11-24,336.2800,338.1600,333.9110,337.9100,21661307
